,Property,Thing,Action,max_abs_coefficient
landmark_x_away,0.0,0.0,0.0242415785190087,0.0242415785190087
lowerlimb_x_self,0.0,0.0086013419497348,-0.0242276889411199,0.0242276889411199
away_x_self,0.0,-0.0240663966548112,0.020475938754419,0.0240663966548112
slow_x_path,0.0,-0.023836819224381,0.0067086279339564,0.023836819224381
path_x_communication,0.0,-0.0053407091208531,0.0224886898123211,0.0224886898123211
upperlimb_x_consequential,0.0,0.01032677660321,-0.021618415800578,0.021618415800578
motion_x_self,-0.0052252418760437,0.021511865382423,0.0,0.021511865382423
away_x_short,-0.0058469511138298,0.0212975303648759,0.0,0.0212975303648759
slow_x_social,0.0,0.0089144060551464,-0.0201838959694669,0.0201838959694669
vision_x_color,0.0198711062528165,0.0,0.0,0.0198711062528165
near_x_arousal,-0.0194103204075571,0.0,0.0,0.0194103204075571
path_x_self,0.0,-0.0187664351960532,0.0004444025948417,0.0187664351960532
practice_x_toward,-0.0184041563817945,0.0,0.0,0.0184041563817945
motion_x_consequential,0.0,0.0175515514993744,0.0,0.0175515514993744
practice_x_consequential,-0.0004292811417283,0.0,0.0169231974163784,0.0169231974163784
self_x_needs,-0.0152433418041933,0.0,0.0,0.0152433418041933
fast_x_upperlimb,0.0,0.0151913086186229,-0.0133978162844846,0.0151913086186229
shape_x_weight,0.0150660746185425,-0.0119138383778501,0.0,0.0150660746185425
lowerlimb_x_caused,0.0145177176487528,-0.0035150821742345,0.0,0.0145177176487528
vision_x_shape,0.0,0.0,-0.0142904442057306,0.0142904442057306
away_x_arousal,-0.0133036334962452,0.0141810931749787,0.0,0.0141810931749787
near_x_cognition,0.0,0.013934684458049,-0.0106803955439529,0.013934684458049
duration_x_human,0.0,0.0,0.0138951078955202,0.0138951078955202
upperlimb_x_self,0.0,0.0,-0.0137008866780775,0.0137008866780775
path_x_long,-0.0136823761014202,0.0,0.0,0.0136823761014202
slow_x_near,-0.0134671476084437,0.0,0.0,0.0134671476084437
communication_x_self,0.0,0.0134252728658886,0.0,0.0134252728658886
face_x_short,-0.0117714761039427,0.0,0.0,0.0117714761039427
motion_x_short,0.0,0.0116269777192938,-0.0006496781521188,0.0116269777192938
fast_x_cognition,0.0,-0.0111508490418644,0.0009476506919521,0.0111508490418644
slow_x_communication,0.0,0.0111043093817857,0.0,0.0111043093817857
touch_x_short,0.0,-0.0106129210893166,0.0,0.0106129210893166
upperlimb_x_arousal,0.0,0.0101416072091191,-0.0037927332107859,0.0101416072091191
body_x_long,0.0097585478654774,0.0,0.0,0.0097585478654774
texture_x_short,-0.0091033209056601,0.0,0.0094681010172831,0.0094681010172831
near_x_drive,0.0,0.0090428002498609,0.0,0.0090428002498609
upperlimb_x_landmark,-0.0088634747685665,0.0,0.0,0.0088634747685665
biomotion_x_communication,-0.0088619530172696,0.0,0.0,0.0088619530172696
body_x_communication,-0.0087937878844959,0.0018166946404699,0.0,0.0087937878844959
