feature_1,feature_2,correlation,abs_correlation
lowerlimb,attention,0.03432651293790252,0.03432651293790252
dark,high,0.03420133994594722,0.03420133994594722
path,benefit,-0.03396010903215326,0.03396010903215326
sound,landmark,0.03389047675107535,0.03389047675107535
sound,unpleasant,0.03388944975204151,0.03388944975204151
high,duration,0.033878052574515344,0.033878052574515344
texture,landmark,0.03379611297119436,0.03379611297119436
loud,drive,-0.03378694468435368,0.03378694468435368
upperlimb,scene,0.03376273532022262,0.03376273532022262
vision,benefit,-0.03363831125294611,0.03363831125294611
color,motion,0.033471495585181206,0.033471495585181206
audition,happy,0.03336637567522355,0.03336637567522355
large,pleasant,-0.03331976737171513,0.03331976737171513
face,number,-0.03324480064375924,0.03324480064375924
music,time,0.033118532256416255,0.033118532256416255
upperlimb,self,0.03286988260764342,0.03286988260764342
pain,social,0.032733239841058574,0.032733239841058574
slow,harm,0.03270578993764423,0.03270578993764423
biomotion,texture,-0.03263143658689938,0.03263143658689938
complexity,number,-0.032442736621791333,0.032442736621791333
near,communication,-0.03220621562883044,0.03220621562883044
lowerlimb,duration,0.032104631617560504,0.032104631617560504
lowerlimb,consequential,-0.03197499157108955,0.03197499157108955
audition,time,0.03196066272558572,0.03196066272558572
path,unpleasant,0.0316797072288154,0.0316797072288154
color,landmark,0.031664528904002835,0.031664528904002835
smell,upperlimb,0.03127130657216751,0.03127130657216751
audition,disgusted,0.031266982298084944,0.031266982298084944
color,number,-0.030978792640305668,0.030978792640305668
motion,practice,-0.030937164590119446,0.030937164590119446
duration,harm,-0.030908193073597875,0.030908193073597875
scene,long,0.03084114256981897,0.03084114256981897
lowerlimb,number,-0.03083410287298125,0.03083410287298125
lowerlimb,drive,0.030829735480059996,0.030829735480059996
texture,audition,-0.030814514714610802,0.030814514714610802
sound,time,0.03062110885488614,0.03062110885488614
fast,sad,-0.030432473210516005,0.030432473210516005
touch,benefit,-0.02945533224111482,0.02945533224111482
number,self,0.02913737973067012,0.02913737973067012
motion,social,-0.028774971642858166,0.028774971642858166
away,time,-0.028753242881862193,0.028753242881862193
body,arousal,0.028542207645976696,0.028542207645976696
duration,benefit,-0.028360329875386194,0.028360329875386194
caused,benefit,0.028190253374116986,0.028190253374116986
loud,landmark,-0.02818172073174035,0.02818172073174035
face,music,-0.027990831882579916,0.027990831882579916
body,sad,0.027877976797225593,0.027877976797225593
pain,speech,0.02771304231360614,0.02771304231360614
pattern,head,-0.027706699598144133,0.027706699598144133
communication,pleasant,0.02737558118424451,0.02737558118424451
fast,disgusted,-0.027347262356566485,0.027347262356566485
smell,time,-0.027317156632383002,0.027317156632383002
smell,benefit,-0.02728058986274448,0.02728058986274448
