model,class_raw,class_display,fold,C,l1_ratio,macro_f1_cv
Elastic Net,adjective,Property,5,0.001,0.3,0.2987012987012987
Elastic Net,adjective,Property,5,0.001,0.5,0.2987012987012987
Elastic Net,adjective,Property,5,0.001,0.7,0.2987012987012987
Elastic Net,adjective,Property,5,0.001,0.9,0.2987012987012987
Elastic Net,adjective,Property,5,0.003593813663804626,0.1,0.2987012987012987
Elastic Net,adjective,Property,5,0.003593813663804626,0.3,0.2987012987012987
Elastic Net,adjective,Property,5,0.003593813663804626,0.5,0.2987012987012987
Elastic Net,adjective,Property,5,0.003593813663804626,0.7,0.2987012987012987
Elastic Net,adjective,Property,5,0.003593813663804626,0.9,0.2987012987012987
Elastic Net,adjective,Property,5,0.01291549665014884,0.1,0.5309470544369873
Elastic Net,adjective,Property,5,0.01291549665014884,0.3,0.3612596553773024
Elastic Net,adjective,Property,5,0.01291549665014884,0.5,0.2987012987012987
Elastic Net,adjective,Property,5,0.01291549665014884,0.7,0.2987012987012987
Elastic Net,adjective,Property,5,0.01291549665014884,0.9,0.2987012987012987
Elastic Net,adjective,Property,5,0.046415888336127795,0.1,0.6581632653061225
Elastic Net,adjective,Property,5,0.046415888336127795,0.3,0.6282711282711282
Elastic Net,adjective,Property,5,0.046415888336127795,0.5,0.5309470544369873
Elastic Net,adjective,Property,5,0.046415888336127795,0.7,0.5309470544369873
Elastic Net,adjective,Property,5,0.046415888336127795,0.9,0.5309470544369873
Elastic Net,adjective,Property,5,0.1668100537200059,0.1,0.7317351598173515
Elastic Net,adjective,Property,5,0.1668100537200059,0.3,0.7317351598173515
Elastic Net,adjective,Property,5,0.1668100537200059,0.5,0.6581632653061225
Elastic Net,adjective,Property,5,0.1668100537200059,0.7,0.6848163923103489
Elastic Net,adjective,Property,5,0.1668100537200059,0.9,0.6848163923103489
Elastic Net,adjective,Property,5,0.5994842503189409,0.1,0.7824074074074074
Elastic Net,adjective,Property,5,0.5994842503189409,0.3,0.7584178498985802
Elastic Net,adjective,Property,5,0.5994842503189409,0.5,0.7824074074074074
Elastic Net,adjective,Property,5,0.5994842503189409,0.7,0.7824074074074074
Elastic Net,adjective,Property,5,0.5994842503189409,0.9,0.7824074074074074
Elastic Net,adjective,Property,5,2.1544346900318843,0.1,0.8041344620291988
Elastic Net,adjective,Property,5,2.1544346900318843,0.3,0.8041344620291988
Elastic Net,adjective,Property,5,2.1544346900318843,0.5,0.7859154929577464
Elastic Net,adjective,Property,5,2.1544346900318843,0.7,0.7859154929577464
Elastic Net,adjective,Property,5,2.1544346900318843,0.9,0.8041344620291988
Elastic Net,adjective,Property,5,7.742636826811277,0.1,0.8041344620291988
Elastic Net,adjective,Property,5,7.742636826811277,0.3,0.8041344620291988
Elastic Net,adjective,Property,5,7.742636826811277,0.5,0.7859154929577464
Elastic Net,adjective,Property,5,7.742636826811277,0.7,0.7859154929577464
Elastic Net,adjective,Property,5,7.742636826811277,0.9,0.7859154929577464
Elastic Net,adjective,Property,5,27.825594022071257,0.1,0.8041344620291988
Elastic Net,adjective,Property,5,27.825594022071257,0.3,0.8041344620291988
Elastic Net,adjective,Property,5,27.825594022071257,0.5,0.7859154929577464
Elastic Net,adjective,Property,5,27.825594022071257,0.7,0.7859154929577464
Elastic Net,adjective,Property,5,27.825594022071257,0.9,0.7859154929577464
Elastic Net,adjective,Property,5,100.0,0.1,0.8041344620291988
Elastic Net,adjective,Property,5,100.0,0.3,0.8041344620291988
Elastic Net,adjective,Property,5,100.0,0.5,0.8041344620291988
Elastic Net,adjective,Property,5,100.0,0.7,0.7859154929577464
Elastic Net,adjective,Property,5,100.0,0.9,0.7859154929577464
Elastic Net,noun,Thing,1,0.001,0.1,0.29677419354838713
Elastic Net,noun,Thing,1,0.001,0.3,0.29677419354838713
Elastic Net,noun,Thing,1,0.001,0.5,0.29677419354838713
Elastic Net,noun,Thing,1,0.001,0.7,0.29677419354838713
Elastic Net,noun,Thing,1,0.001,0.9,0.29677419354838713
Elastic Net,noun,Thing,1,0.003593813663804626,0.1,0.29677419354838713
Elastic Net,noun,Thing,1,0.003593813663804626,0.3,0.29677419354838713
Elastic Net,noun,Thing,1,0.003593813663804626,0.5,0.29677419354838713
Elastic Net,noun,Thing,1,0.003593813663804626,0.7,0.29677419354838713
Elastic Net,noun,Thing,1,0.003593813663804626,0.9,0.29677419354838713
Elastic Net,noun,Thing,1,0.01291549665014884,0.1,0.45647773279352233
Elastic Net,noun,Thing,1,0.01291549665014884,0.3,0.3593073593073593
Elastic Net,noun,Thing,1,0.01291549665014884,0.5,0.29677419354838713
Elastic Net,noun,Thing,1,0.01291549665014884,0.7,0.29677419354838713
Elastic Net,noun,Thing,1,0.01291549665014884,0.9,0.29677419354838713
Elastic Net,noun,Thing,1,0.046415888336127795,0.1,0.5853206147323794
Elastic Net,noun,Thing,1,0.046415888336127795,0.3,0.5853206147323794
Elastic Net,noun,Thing,1,0.046415888336127795,0.5,0.5853206147323794
Elastic Net,noun,Thing,1,0.046415888336127795,0.7,0.5587248322147651
Elastic Net,noun,Thing,1,0.046415888336127795,0.9,0.49511195206559444
Elastic Net,noun,Thing,1,0.1668100537200059,0.1,0.6948104527051896
Elastic Net,noun,Thing,1,0.1668100537200059,0.3,0.6948104527051896
Elastic Net,noun,Thing,1,0.1668100537200059,0.5,0.7046783625730993
Elastic Net,noun,Thing,1,0.1668100537200059,0.7,0.7046783625730993
Elastic Net,noun,Thing,1,0.1668100537200059,0.9,0.6864283864283864
Elastic Net,noun,Thing,1,0.5994842503189409,0.1,0.7145539906103288
Elastic Net,noun,Thing,1,0.5994842503189409,0.3,0.7145539906103288
Elastic Net,noun,Thing,1,0.5994842503189409,0.5,0.7145539906103288
Elastic Net,noun,Thing,1,0.5994842503189409,0.7,0.7059961315280464
Elastic Net,noun,Thing,1,0.5994842503189409,0.9,0.7145539906103288
Elastic Net,noun,Thing,1,2.1544346900318843,0.1,0.7713303245218138
Elastic Net,noun,Thing,1,2.1544346900318843,0.3,0.7713303245218138
Elastic Net,noun,Thing,1,2.1544346900318843,0.5,0.7145539906103288
Elastic Net,noun,Thing,1,2.1544346900318843,0.7,0.7145539906103288
Elastic Net,noun,Thing,1,2.1544346900318843,0.9,0.7145539906103288
Elastic Net,noun,Thing,1,7.742636826811277,0.1,0.7713303245218138
Elastic Net,noun,Thing,1,7.742636826811277,0.3,0.7713303245218138
Elastic Net,noun,Thing,1,7.742636826811277,0.5,0.7713303245218138
Elastic Net,noun,Thing,1,7.742636826811277,0.7,0.7713303245218138
Elastic Net,noun,Thing,1,7.742636826811277,0.9,0.6961837217156366
Elastic Net,noun,Thing,1,27.825594022071257,0.1,0.7859154929577464
Elastic Net,noun,Thing,1,27.825594022071257,0.3,0.7859154929577464
Elastic Net,noun,Thing,1,27.825594022071257,0.5,0.7713303245218138
Elastic Net,noun,Thing,1,27.825594022071257,0.7,0.7713303245218138
Elastic Net,noun,Thing,1,27.825594022071257,0.9,0.7713303245218138
Elastic Net,noun,Thing,1,100.0,0.1,0.7859154929577464
Elastic Net,noun,Thing,1,100.0,0.3,0.7859154929577464
Elastic Net,noun,Thing,1,100.0,0.5,0.7859154929577464
Elastic Net,noun,Thing,1,100.0,0.7,0.7859154929577464
Elastic Net,noun,Thing,1,100.0,0.9,0.7713303245218138
Elastic Net,noun,Thing,2,0.001,0.1,0.29914529914529914
Elastic Net,noun,Thing,2,0.001,0.3,0.29914529914529914
Elastic Net,noun,Thing,2,0.001,0.5,0.29914529914529914
Elastic Net,noun,Thing,2,0.001,0.7,0.29914529914529914
Elastic Net,noun,Thing,2,0.001,0.9,0.29914529914529914
Elastic Net,noun,Thing,2,0.003593813663804626,0.1,0.29914529914529914
Elastic Net,noun,Thing,2,0.003593813663804626,0.3,0.29914529914529914
Elastic Net,noun,Thing,2,0.003593813663804626,0.5,0.29914529914529914
Elastic Net,noun,Thing,2,0.003593813663804626,0.7,0.29914529914529914
