feature,mutual_information
bright_x_color,0.06967466702885594
duration_x_cognition,0.06958780292366784
body_x_high,0.06944210879427937
slow_x_benefit,0.06938364876435266
biomotion_x_fearful,0.06938276269405552
human_x_needs,0.06930951848150224
large_x_biomotion,0.06919677584291484
lowerlimb_x_human,0.06914946971007874
large_x_path,0.06905711883480392
shape_x_speech,0.06890596545767225
color_x_upperlimb,0.06880236559304898
practice_x_time,0.06878172280677997
dark_x_body,0.06875343289299263
caused_x_cognition,0.06870648520607903
motion_x_upperlimb,0.0685745758205425
large_x_toward,0.06847230831900597
body_x_unpleasant,0.06839072587418582
pattern_x_near,0.06830751565684112
lowerlimb_x_caused,0.06820816378981598
weight_x_short,0.06812960624765418
upperlimb_x_away,0.0680720802037389
upperlimb_x_drive,0.06805002167591168
near_x_number,0.06800774916548247
weight_x_social,0.06799802777384234
loud_x_sound,0.0679723204567797
landmark_x_pleasant,0.06793667757552835
pattern_x_needs,0.06791650256870185
biomotion_x_music,0.06789254102672437
texture_x_attention,0.06777070248410721
weight_x_practice,0.06766509776751684
landmark_x_long,0.06765924282050517
away_x_arousal,0.06756432925421363
benefit_x_harm,0.06750890696574352
human_x_fearful,0.06750589873698853
small_x_needs,0.06744662324986028
pattern_x_lowerlimb,0.06741398261870968
biomotion_x_social,0.06740598278037435
color_x_slow,0.06726095520693098
pain_x_cognition,0.06720762713965134
weight_x_benefit,0.06700952301717256
fast_x_benefit,0.06697696763088357
biomotion_x_audition,0.06693955404845497
complexity_x_fearful,0.06693222824334599
upperlimb_x_number,0.06688560424838519
face_x_harm,0.06680724867823384
pattern_x_music,0.06674578510576379
pattern_sq,0.06667646558621976
pattern_x_small,0.06657179758435028
complexity_x_taste,0.06656859248345848
audition_x_near,0.06653280795167471
music_x_speech,0.06649520146863308
touch_x_speech,0.06644759207296835
smell_x_short,0.06642800347875633
pattern_x_arousal,0.06639494441394511
large_x_audition,0.0663102951455048
benefit_x_disgusted,0.06617595000108212
sound_x_human,0.06611858217514466
dark_x_complexity,0.06604937648624731
pattern_x_fast,0.06602329540279905
landmark_x_cognition,0.06600099148975747
bright_x_toward,0.06599953905898448
small_x_long,0.0659728718565451
speech_x_social,0.0658719497390059
low_x_landmark,0.06583486851752074
touch_x_loud,0.0657591427887434
fast_x_slow,0.06573694283631215
head_x_away,0.06567278759389761
complexity_x_low,0.06560321441795836
practice_x_needs,0.06559138634986317
touch_x_temperature,0.06555038493394316
lowerlimb_x_scene,0.06551240998908803
small_x_weight,0.06534486501076708
vision_x_music,0.06524435224919212
time_x_surprised,0.06522106444638975
away_x_benefit,0.06514814747695197
smell_x_scene,0.06513204647604098
pattern_x_slow,0.06510350580313018
touch_x_duration,0.06504294943707523
large,0.06499579623314244
bright_x_smell,0.06493907542915611
pattern_x_communication,0.06489861086033422
large_x_weight,0.06485182510431353
path_x_number,0.06476898619317595
dark_x_shape,0.0647142788413726
head_x_benefit,0.06468716976831379
fast_x_loud,0.0646847308224765
benefit_x_arousal,0.06468205166374585
large_x_pleasant,0.06455791548725287
motion_x_path,0.06454754782179628
shape_x_upperlimb,0.06451387367702699
sad_x_drive,0.06449255784027108
small_x_caused,0.0644228351633509
cognition_x_arousal,0.06441553454049931
dark_x_texture,0.06439981000882655
pattern_x_audition,0.06437449537815487
slow_x_disgusted,0.06429968635318795
away_x_long,0.0642794581617594
scene_x_near,0.06425642531340037
self_x_cognition,0.06416843079737022
face_x_surprised,0.06399382361123807
texture_x_number,0.06397183637302728
short_x_surprised,0.06391570835157467
biomotion_x_fast,0.0639023419098399
path_x_attention,0.06380336258786956
temperature_x_smell,0.0637888711008765
duration_x_benefit,0.06371540170994461
upperlimb_x_social,0.06369629520079312
head_x_scene,0.06368490859803355
vision_x_duration,0.0636690830273603
sound_x_landmark,0.06361053153684582
human_x_drive,0.06359499739960928
smell_x_harm,0.0635093088916745
cognition_x_unpleasant,0.06348495775631902
color_x_benefit,0.0634792325554221
human_x_angry,0.06336763557312608
slow_x_time,0.06335986401297689
small_x_arousal,0.06335537268826297
color_x_audition,0.063181964489752
surprised,0.06313940342771951
small_x_landmark,0.06313660882538552
small_x_toward,0.0631336394588422
smell_x_landmark,0.06302134072680765
duration_x_surprised,0.06298911107793748
