model,class_display,feature,coefficient,abs_coefficient
Elastic Net,Action,high,-0.0956763885361948,0.0956763885361948
Elastic Net,Action,audition,-0.0950736352698626,0.0950736352698626
Elastic Net,Action,complexity,-0.0894656674224601,0.0894656674224601
Elastic Net,Action,surprised,0.0879778000915846,0.0879778000915846
Elastic Net,Action,disgusted,-0.0841322994524647,0.0841322994524647
Elastic Net,Action,smell,-0.0825303470581934,0.0825303470581934
Elastic Net,Action,texture,0.0672772017601533,0.0672772017601533
Elastic Net,Action,communication,-0.0550853487567908,0.0550853487567908
Elastic Net,Action,music,-0.0448772018473873,0.0448772018473873
Elastic Net,Action,cognition,0.0197115373959316,0.0197115373959316
Elastic Net,Action,small,0.0024235398337673,0.0024235398337673
Elastic Net,Action,motion,-0.0013469658226096,0.0013469658226096
Elastic Net,Property,short,-2.666150063935471,2.666150063935471
Elastic Net,Property,near,-1.9969283594200555,1.9969283594200555
Elastic Net,Property,surprised,-1.9587925847252576,1.9587925847252576
Elastic Net,Property,texture,-1.946206443068732,1.946206443068732
Elastic Net,Property,biomotion,-1.7956203076337045,1.7956203076337045
Elastic Net,Property,head,-1.6820483463836773,1.6820483463836773
Elastic Net,Property,motion,-1.5322141566595708,1.5322141566595708
Elastic Net,Property,upperlimb,-1.48752046449592,1.48752046449592
Elastic Net,Property,vision,1.4073497858913666,1.4073497858913666
Elastic Net,Property,long,-1.3836759323228525,1.3836759323228525
Elastic Net,Property,pain,1.32333437635803,1.32333437635803
Elastic Net,Property,drive,-1.278217197559404,1.278217197559404
Elastic Net,Property,complexity,1.255375218360022,1.255375218360022
Elastic Net,Property,toward,1.0608373726296891,1.0608373726296891
Elastic Net,Property,speech,1.0245652997774868,1.0245652997774868
Elastic Net,Property,music,1.0216736229427832,1.0216736229427832
Elastic Net,Property,duration,0.9884752934331712,0.9884752934331712
Elastic Net,Property,loud,-0.9569024403069156,0.9569024403069156
Elastic Net,Property,landmark,-0.9234943565809794,0.9234943565809794
Elastic Net,Property,happy,0.8636248934248871,0.8636248934248871
Elastic Net,Property,low,0.8154966491860597,0.8154966491860597
Elastic Net,Property,communication,0.7830214007597962,0.7830214007597962
Elastic Net,Property,consequential,-0.7088439221752826,0.7088439221752826
Elastic Net,Property,large,-0.6949093881199905,0.6949093881199905
Elastic Net,Property,practice,0.679656680196065,0.679656680196065
Elastic Net,Property,caused,-0.6642515873549094,0.6642515873549094
Elastic Net,Property,benefit,-0.6142218238175697,0.6142218238175697
Elastic Net,Property,away,0.556382887532164,0.556382887532164
Elastic Net,Property,dark,-0.5319274348061243,0.5319274348061243
Elastic Net,Property,fast,-0.5133975351117764,0.5133975351117764
Elastic Net,Property,fearful,0.4980018644850513,0.4980018644850513
Elastic Net,Property,body,0.4821444197445071,0.4821444197445071
Elastic Net,Property,human,-0.4672999359045359,0.4672999359045359
Elastic Net,Property,color,-0.4136484609432009,0.4136484609432009
Elastic Net,Property,time,-0.3998431161144271,0.3998431161144271
Elastic Net,Property,taste,0.3878239107431991,0.3878239107431991
Elastic Net,Property,scene,-0.3755495902118894,0.3755495902118894
Elastic Net,Property,angry,0.324859821338753,0.324859821338753
Elastic Net,Property,pleasant,0.3098459186261317,0.3098459186261317
Elastic Net,Property,self,0.303812829530613,0.303812829530613
Elastic Net,Property,attention,0.2863096812254482,0.2863096812254482
Elastic Net,Property,smell,-0.2839236858089714,0.2839236858089714
Elastic Net,Property,pattern,-0.2815360107147254,0.2815360107147254
Elastic Net,Property,disgusted,-0.2770548385711642,0.2770548385711642
Elastic Net,Property,audition,-0.2445353488842485,0.2445353488842485
Elastic Net,Property,high,-0.2388253254672072,0.2388253254672072
Elastic Net,Property,shape,-0.2152861151917764,0.2152861151917764
Elastic Net,Property,sound,0.212966274933094,0.212966274933094
Elastic Net,Property,arousal,0.2114890656258653,0.2114890656258653
Elastic Net,Property,face,0.1929314595713073,0.1929314595713073
Elastic Net,Property,unpleasant,0.1711149823796268,0.1711149823796268
Elastic Net,Property,small,-0.1296412862871529,0.1296412862871529
Elastic Net,Property,harm,0.1142038237791686,0.1142038237791686
Elastic Net,Property,lowerlimb,-0.1041321896525041,0.1041321896525041
Elastic Net,Property,number,0.100326186129231,0.100326186129231
Elastic Net,Property,weight,-0.0943041368808069,0.0943041368808069
Elastic Net,Property,social,-0.0787919520996544,0.0787919520996544
Elastic Net,Property,slow,0.0647163796390682,0.0647163796390682
Elastic Net,Property,temperature,-0.0194431787770877,0.0194431787770877
Elastic Net,Property,path,0.0168088424600553,0.0168088424600553
Elastic Net,Property,bright,-0.014082101554392,0.014082101554392
Elastic Net,Property,needs,0.0108674304883526,0.0108674304883526
Elastic Net,Property,touch,-0.0093279285480726,0.0093279285480726
